,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
2215,2215,,,,,,,,18529.0,,,,Las Vegas,,,COED,Certificate,36.1739,-115.0645,22400,20900,20100,18400,Private for-profit,0.0302,0.3467,0.94999998807907,0.3291,,0.5402,,0.7628,,0.2613,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Marinello Schools of Beauty-Las Vegas,www.marinello.com,3039.0,NV,,,182209,398.0,89110,0.57999998331069,28026.47
2216,2216,22.0,21.0,22.0,,0.8512,,17478.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, lower transfer-in",Las Vegas,0.4288,9986.0,COED,Graduate,36.107,-115.1412,48400,36600,43500,33800,Public,0.1634,0.0762,0.58999997377395,0.2315,,0.2741,1.0,0.3351,,0.3836,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,505.0,1003.0,495.0,475.0,University of Nevada-Las Vegas,go.unlv.edu/,8741.0,NV,6690.0,20600.0,182281,22742.0,89154,0.28000000119209,51263.5
2217,2217,24.0,23.0,23.0,7.0,0.8396,,21398.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, higher transfer-in",Reno,0.5139,9233.0,COED,Graduate,39.5528,-119.8256,52200,39800,45500,35200,Public,0.0656,0.0354,0.58999997377395,0.1631,,0.1562,0.9281,0.2884,,0.646,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,540.0,1081.0,535.0,510.0,University of Nevada-Reno,www.unr.edu/,14946.0,NV,6610.0,20520.0,182290,15310.0,89557,0.28000000119209,61238.62
2218,2218,,,,,,,12845.0,,Baccalaureate/Associate's Colleges,"Small 4-year, primarily nonresidential (1,000 to 2,999)",Higher part-time four-year,Elko,0.5394,5617.0,COED,Graduate,40.8424,-115.7673,38800,34600,32000,26400,Public,0.0113,0.0184,0.75999999046325,0.155,,0.6297,0.3418,0.2709,,0.6837,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Great Basin College,www.gbcnv.edu,6610.0,NV,2700.0,9345.0,182306,2387.0,89801,0.54000002145767,32429.66
2219,2219,,,,,,,,19245.0,,,,Reno,,,COED,Certificate,39.486,-119.7608,,,,,Private for-profit,0.0364,0.1091,,0.2036,,0.5382,,0.6917,,0.4145,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Marinello Schools of Beauty-Reno,www.marinello.com,4421.0,NV,,,182397,275.0,89502,,
2220,2220,,,,,,,30711.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Reno,0.913,4317.0,COED,Graduate,39.5248,-119.822,48200,27300,45400,25200,Private for-profit,0.0615,0.0588,0.17000000178813,0.1658,,0.0,0.1538,0.6271,,0.5695,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Morrison University,www.morrison.anthem.edu,1209.0,NV,6549.0,6549.0,182430,374.0,89521,0.43999999761581,58566.73
2221,2221,,,,,,,44600.0,,Master's Colleges and Universities (medium programs),"Very small 4-year, primarily residential (less than 1,000)","Full-time four-year, inclusive",Incline Village,0.5522,5976.0,COED,Graduate,39.2459,-119.9395,41400,30200,42500,25200,Private nonprofit,0.0147,0.0084,0.51999998092651,0.0126,,0.0,0.2416,0.3746,,0.7311,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Sierra Nevada College,www.sierranevada.edu,7204.0,NV,28483.0,28483.0,182458,476.0,89451,0.31999999284744,61235.64
2222,2222,,,,,,,12067.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Higher part-time two-year,Reno,,6358.0,COED,Associate,39.5722,-119.7953,37200,30800,32500,27800,Public,0.0528,0.0249,0.66000002622604,0.2493,,0.7003,0.9881,0.3243,,0.6025,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Truckee Meadows Community College,www.tmcc.edu,4511.0,NV,2700.0,9345.0,182500,9051.0,89512-3999,0.56000000238418,28901.96
2223,2223,,,,,,,13918.0,,Associate's--Public 4-year Primarily Associate's,"Small 4-year, primarily nonresidential (1,000 to 2,999)",Higher part-time four-year,Carson City,0.1927,7708.0,COED,Bachelors,39.1862,-119.7904,31900,31700,28400,27400,Public,0.0179,0.014,0.70999997854232,0.1754,,0.6534,0.2412,0.4114,,0.6858,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Western Nevada College,www.wnc.edu,4101.0,NV,2700.0,9345.0,182564,3511.0,89703-7399,0.63999998569488,28614.86
2224,2224,,,,,0.8312,,50644.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",New London,0.5439,6825.0,COED,Bachelors,43.4117,-71.9758,41900,36300,38600,33800,Private nonprofit,0.01,0.0538,0.68000000715255,0.0287,,0.0065,0.967,0.3355,,0.6323,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Colby-Sawyer College,www.colby-sawyer.edu,6834.0,NH,37300.0,37300.0,182634,1395.0,03257-7835,0.00999999977648,98809.94
2225,2225,,,,,,,,15380.0,,,,Hudson,,,COED,Certificate,42.7766,-71.4447,25100,20100,22000,19000,Private for-profit,0.0,0.0,1,0.0645,,0.0,,0.4952,,0.9355,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Continental Academie of Hair Design-Hudson,continentalacademie.com,3148.0,NH,,,182652,62.0,3051,0.15999999642372,60459.91
2226,2226,19.0,,,,0.5992,,27321.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, selective, lower transfer-in",Nashua,0.5356,5077.0,COED,Graduate,42.7764,-71.5143,59500,45300,51900,38100,Private for-profit,0.0319,0.0831,0.25,0.0543,,0.1118,0.3222,0.3661,,0.6454,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,490.0,962.0,475.0,465.0,Daniel Webster College,www.dwc.edu,17386.0,NH,15630.0,15630.0,182661,626.0,03063-1300,0.18999999761581,81234.2
2227,2227,32.0,,,,0.0978,,61398.0,,Research Universities (very high research activity),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, lower transfer-in",Hanover,0.947,13143.0,COED,Graduate,43.7137,-72.2603,99700,70500,67100,54400,Private nonprofit,0.1399,0.0655,0.5,0.0763,,0.0,0.8068,0.1364,,0.4685,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,730.0,1446.0,725.0,735.0,Dartmouth College,www.dartmouth.edu,25268.0,NH,46752.0,46752.0,182670,4154.0,03755-3529,0.09000000357627,102621.61
2228,2228,,,,,,,,15726.0,,,,Laconia,,,COED,Certificate,43.5261,-71.4689,21100,17200,18700,16800,Private for-profit,0.0,0.0097,0.97000002861022,0.0097,,0.2816,,0.4306,,0.9806,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Empire Beauty School-Laconia,www.empirebeautyschools.com,7546.0,NH,,,182704,103.0,3246,0.37000000476837,40557.88
2229,2229,,,,,,,,15448.0,,,,Somersworth,,,COED,Certificate,43.2609,-70.9046,22300,19300,18400,16700,Private for-profit,0.0143,0.0071,0.93999999761581,0.0286,,0.15,,0.3724,,0.9429,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Empire Beauty School-Somersworth,www.empirebeautyschools.com,6373.0,NH,,,182722,140.0,3878,0.40999999642372,39514.18
2230,2230,19.0,22.0,21.0,8.0,0.8472,,44410.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Rindge,0.4409,5299.0,COED,Graduate,42.7823,-72.0579,40400,32100,38000,29700,Private nonprofit,0.009,0.0361,0.56000000238418,0.0541,,0.1196,0.3214,0.2441,,0.741,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,495.0,975.0,485.0,470.0,Franklin Pierce University,www.franklinpierce.edu,7615.0,NH,31000.0,31000.0,182795,1664.0,03461-0060,0.20999999344348,80237.61
2231,2231,,,,,,,,,Special Focus Institutions--Schools of law,,,Concord,,8747.0,COED,Graduate,43.2074,-71.5452,PrivacySuppressed,90200,PrivacySuppressed,69200,Private nonprofit,,,0.31999999284744,,,,0.973,,,,Graduate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,University of New Hampshire-School of Law,law.unh.edu,14694.0,NH,,,182829,,03301-4197,0.75999999046325,14332.14
2232,2232,,,,,,,20578.0,,Baccalaureate/Associate's Colleges,"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Manchester,0.2874,4685.0,COED,Bachelors,42.9716,-71.4707,33500,27400,30900,26100,Private for-profit,0.0079,0.0238,0.70999997854232,0.1456,,0.3625,0.0766,0.5979,,0.7545,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Mount Washington College,www.mountwashington.edu/index.aspx,4966.0,NH,8016.0,8016.0,182865,2273.0,03103-9969,0.51999998092651,42965.77
2233,2233,,,,,,,,17006.0,,,,Keene,,,COED,Certificate,42.9487,-72.3203,PrivacySuppressed,19000,PrivacySuppressed,18400,Private for-profit,0.0,0.0185,0.93999999761581,0.0,,0.0741,,0.6,,0.8148,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Keene Beauty Academy,WWW.KEENEBEAUTYACADEMY.edu,6055.0,NH,,,182892,54.0,3431,0.31000000238418,36065.6
2234,2234,,,,,,,24678.0,,Associate's--Private Not-for-profit,Very small 2-year (less than 500),Higher part-time two-year,Lebanon,,,COED,Associate,43.6426,-72.2528,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0147,0.0,0.61000001430511,0.0588,,0.5882,,0.2538,,0.8824,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Lebanon College,www.lebanoncollege.edu,9687.0,NH,7800.0,7800.0,182908,68.0,3766,0.61000001430511,50424.9
2235,2235,,,,,,,,21585.0,,,,Bedford,,,COED,Certificate,42.9854,-71.4622,27100,21100,22200,17600,Private for-profit,0.0,0.0061,0.93999999761581,0.0305,,0.2744,,0.5545,,0.9085,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,michaels.paulmitchell.edu,4881.0,NH,,,182953,164.0,3110,0.37000000476837,52405.28
2236,2236,,,,,0.8997,,46261.0,,Master's Colleges and Universities (medium programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Henniker,0.3979,6008.0,COED,Graduate,43.177,-71.8229,38200,32700,35600,28500,Private nonprofit,0.0143,0.1823,0.54000002145767,0.0628,,0.0369,0.4714,0.448,,0.6751,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,,,,,New England College,www.nec.edu/,5347.0,NH,33000.0,33000.0,182980,1465.0,3242,0.17000000178813,81948.75
2237,2237,,,,,,,,26715.0,,,,West Lebanon,,,COED,Certificate,43.6441,-72.3057,PrivacySuppressed,18300,PrivacySuppressed,18000,Private for-profit,0.0175,0.0,1,0.0,,0.0526,,0.439,,0.9825,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,New England School of Hair Design Inc,www.neshd.org,7564.0,NH,,,182999,57.0,03784-2003,0.34999999403953,41971.35
2238,2238,,,,,0.7866,,39677.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Manchester,0.542,6991.0,COED,Graduate,43.0399,-71.4539,46100,37200,41800,34800,Private nonprofit,0.0078,0.0518,0.62000000476837,0.0179,,0.4606,1.0,0.4058,,0.2893,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,490.0,965.0,475.0,480.0,Southern New Hampshire University,www.snhu.edu,2810.0,NH,28884.0,28884.0,183026,17172.0,03106-1045,0.37999999523162,70725.24
2239,2239,,,,,,,,19197.0,,,,Hudson,,,COED,Certificate,42.7456,-71.4267,PrivacySuppressed,22500,PrivacySuppressed,20400,Private for-profit,0.0313,0.0,0.88999998569488,0.0,,0.0,,0.7143,,0.9688,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,New Hampshire Institute for Therapeutic Arts,www.nhita.com,4182.0,NH,,,183035,32.0,3051,0.60000002384185,40156.75
2240,2240,,,,,0.7784,,29520.0,,Research Universities (high research activity),"Large 4-year, highly residential (over 9,999)","Full-time four-year, more selective, lower transfer-in",Durham,0.7919,11061.0,COED,Graduate,43.1342,-70.9345,52300,39500,47300,37100,Public,0.0203,0.0118,0.56999999284744,0.0293,,0.0238,0.6173,0.2238,,0.8016,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,560.0,1100.0,540.0,,University of New Hampshire-Main Campus,www.unh.edu,10236.0,NH,16496.0,29216.0,183044,12288.0,03824-3547,0.05999999865889,96733.64
2241,2241,,,,,0.8185,,24614.0,,Master's Colleges and Universities (smaller programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, selective, lower transfer-in",Keene,0.634,8750.0,COED,Graduate,42.926,-72.2814,42300,32500,39900,31400,Public,0.0103,0.0073,0.57999998331069,0.0274,,0.0263,0.4861,0.2387,,0.8199,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,490.0,975.0,485.0,490.0,Keene State College,www.keene.edu,8491.0,NH,12776.0,20161.0,183062,4643.0,03435-1506,0.03999999910593,90119.45
2242,2242,,,,,0.7306,,21507.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, selective, higher transfer-in",Manchester,0.4234,9550.0,COED,Bachelors,42.9903,-71.4688,52300,39500,47300,37100,Public,0.0166,0.023,0.56999999284744,0.0435,,0.2382,0.2816,0.2473,,0.7529,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,505.0,1020.0,515.0,495.0,University of New Hampshire at Manchester,manchester.unh.edu,7589.0,NH,13762.0,26482.0,183071,781.0,03101-1113,0.05999999865889,96733.64
2243,2243,21.0,,,,0.7748,,24828.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, selective, lower transfer-in",Plymouth,0.5596,8065.0,COED,Graduate,43.7574,-71.6912,40500,31400,37700,29700,Public,0.0151,0.0171,0.5,0.0271,,0.0482,0.4119,0.2697,,0.785,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,485.0,965.0,480.0,470.0,Plymouth State University,www.plymouth.edu,8487.0,NH,12610.0,20030.0,183080,3986.0,03264-1595,0.02999999932944,89777.99
2244,2244,,,,,,,19062.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Concord,,6367.0,COED,Associate,43.2236,-71.532,40700,33100,37700,30600,Public,0.0204,0.0259,0.60000002384185,0.0261,,0.5078,1.0,0.3726,,0.8534,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,NHTI-Concord's Community College,www.nhti.edu,5080.0,NH,7360.0,15936.0,183099,3826.0,03301-7412,0.28999999165534,59712.29
2245,2245,,,,,,,19858.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Higher part-time two-year,Berlin,,5715.0,COED,Associate,44.5035,-71.1585,34000,31400,31000,29800,Public,0.0016,0.0016,0.56000000238418,0.008,,0.5837,1.0,0.5212,,0.6667,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,White Mountains Community College,www.wmcc.edu,6054.0,NH,7664.0,16240.0,183105,627.0,3570,0.37999999523162,44130.79
2246,2246,,,,,,,23322.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Higher part-time two-year,Claremont,,5702.0,COED,Associate,43.3994,-72.3333,PrivacySuppressed,39500,PrivacySuppressed,37900,Public,0.0111,0.0089,,0.0212,,0.7584,1.0,0.4546,,0.8797,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,River Valley Community College,www.rivervalley.edu,5267.0,NH,7175.0,15751.0,183114,898.0,03743-9707,,
2247,2247,,,,,,,18684.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Laconia,,5939.0,COED,Associate,43.5183,-71.4639,PrivacySuppressed,37000,PrivacySuppressed,33800,Public,0.0039,0.0039,,0.0116,,0.5271,0.2034,0.4431,,0.7345,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Lakes Region Community College,www.lrcc.edu,5749.0,NH,6962.0,15538.0,183123,1032.0,3246,,
2248,2248,,,,,,,16905.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,Manchester,,5921.0,COED,Associate,43.0198,-71.4835,37300,31800,33300,30100,Public,0.0241,0.0339,0.60000002384185,0.0457,,0.6445,1.0,0.3568,,0.7404,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Manchester Community College,www.mccnh.edu,5133.0,NH,7168.0,15744.0,183132,2450.0,03102-8518,0.40000000596046,51529.69
2249,2249,,,,,,,16741.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,Nashua,,5856.0,COED,Associate,42.7946,-71.5235,36900,31600,34500,29500,Public,0.0217,0.0291,0.66000002622604,0.0775,,0.6308,1.0,0.3104,,0.7863,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Nashua Community College,www.nashuacc.edu,4097.0,NH,7232.0,15808.0,183141,2026.0,03063-1026,0.46000000834465,46758.59
2250,2250,,,,,,,18859.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,Portsmouth,,5883.0,COED,Associate,43.0447,-70.8903,PrivacySuppressed,36700,PrivacySuppressed,33400,Public,0.0349,0.0143,,0.0138,,0.681,0.1455,0.3182,,0.8974,Associate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Great Bay Community College,www.greatbay.edu,4494.0,NH,7008.0,15584.0,183150,1890.0,03801-2879,,
2251,2251,,,,,,,,21319.0,,,,Portsmouth,,,COED,Certificate,43.0758,-70.7599,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.0,0.93999999761581,0.0,,0.0,,0.303,,0.9231,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Paul Mitchell the School-Portsmouth,portsmouth.paulmitchell.edu/,3220.0,NH,,,183202,26.0,03801-4084,0.34999999403953,44718.27
2252,2252,19.0,18.0,18.0,7.0,0.8928,,39525.0,,Master's Colleges and Universities (larger programs),"Small 4-year, primarily residential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Nashua,0.5907,6599.0,COED,Graduate,42.7383,-71.4555,45100,40800,42800,38400,Private nonprofit,0.0236,0.0262,0.79000002145767,0.0492,,0.4173,0.9231,0.2758,,0.7671,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",Roman Catholic,470.0,932.0,465.0,470.0,Rivier University,www.rivier.edu,7573.0,NH,28055.0,28055.0,183211,1524.0,3060,0.25,82144.28
2253,2253,25.0,26.0,24.0,,0.7365,,48016.0,,Baccalaureate Colleges--Arts & Sciences,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Manchester,0.7447,8086.0,COED,Bachelors,42.9851,-71.5082,58100,43800,55300,41700,Private nonprofit,0.0078,0.0188,0.56999999284744,0.0303,,0.0183,0.7087,0.1673,,0.785,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",Roman Catholic,570.0,1145.0,575.0,570.0,Saint Anselm College,www.anselm.edu,10515.0,NH,35204.0,35204.0,183239,1912.0,03102-1310,0.00999999977648,115142.41
2254,2254,,,,,0.2,,21198.0,,,,,Nashua,,7460.0,COED,Associate,42.75,-71.479,43400,42900,41400,45100,Private nonprofit,0.0153,0.1908,0.85000002384185,0.0305,,0.3511,,0.3582,,0.7252,Associate,"New England (CT, ME, MA, NH, RI, VT)",Roman Catholic,,,,,St Joseph School of Nursing,www.sjhacademiccenter.org,6600.0,NH,16558.0,16558.0,183248,131.0,3060,0.79000002145767,45200.37
2255,2255,,,,,,,17576.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Concord,0.0857,5361.0,COED,Graduate,43.1903,-71.5064,34300,34300,32100,30000,Public,0.0054,0.0143,0.79000002145767,0.0173,,0.4571,0.0319,0.4942,,0.8179,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Granite State College,www.granite.edu,3412.0,NH,7065.0,7545.0,183257,1680.0,03301-3471,0.81000000238418,43210
2256,2256,,,,,,,31300.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",Merrimack,0.4583,4307.0,COED,Bachelors,42.8077,-71.4836,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.0375,0.0125,0.58999997377395,0.0375,,0.0,1.0,0.4526,,0.825,Bachelors,"New England (CT, ME, MA, NH, RI, VT)",Roman Catholic,,,,,Thomas More College of Liberal Arts,www.thomasmorecollege.edu,10655.0,NH,19800.0,19800.0,183275,80.0,3054,0.07999999821186,93618.86
2257,2257,,,,,0.8227,,26062.0,,,,,Hackensack,,4351.0,COED,Certificate,40.8858,-74.0405,31200,31900,29400,29100,Private for-profit,0.0526,0.2508,0.86000001430511,0.517,,0.387,0.4,0.7656,,0.1672,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Eastwick College-Hackensack,www.eastwickcollege.edu,3071.0,NJ,14659.0,14659.0,183488,323.0,7601,0.69999998807907,31909.94
2258,2258,,,,,,,20918.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Mays Landing,,6356.0,COED,Associate,39.4614,-74.6823,33000,25800,28800,22000,Public,0.0778,0.1566,0.62000000476837,0.1596,,0.4789,1.0,0.5086,,0.4655,Associate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Atlantic Cape Community College,www.atlantic.edu,3673.0,NJ,3955.0,7195.0,183655,6762.0,08330-2699,0.38999998569488,31958.14
2259,2259,,,,,,,,23880.0,,,,Wayne,,,COED,Certificate,40.882,-74.2123,30600,24700,31000,25900,Private for-profit,0.0106,0.1711,0.93000000715255,0.381,,0.0,,0.6266,,0.2451,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Fortis Institute-Wayne,fortisinstitute.edu,3444.0,NJ,,,183725,567.0,7470,0.55000001192092,33139.73
2260,2260,,,,,,,11917.0,,Associate's--Public Suburban-serving Single Campus,"Very large 2-year (10,000 or more)",Mixed part/full-time two-year,Paramus,,7030.0,COED,Associate,40.9537,-74.0941,39600,30300,35500,26200,Public,0.0692,0.0576,0.57999998331069,0.2456,,0.4089,0.3641,0.326,,0.3209,Associate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Bergen Community College,www.bergen.edu,6316.0,NJ,4147.0,7854.0,183743,14688.0,07652-1595,0.27000001072883,33479.13
